timestamp,open,high,low,close,volume,close_time,quote_av,trades,tb_base_av,tb_quote_av,ignore
2020-08-22 20:00:00,4.2197,4.55,3.9333,4.4546,5604804.51,1598140799999,23809485.104807,45948,3062088.03,13045719.971061,0
2020-08-23 00:00:00,4.4756,4.4864,4.0202,4.1,4755824.54,1598155199999,20235710.067939002,41474,2161489.56,9194140.978943,0
2020-08-23 04:00:00,4.1,4.2776,4.01,4.2083,2659390.54,1598169599999,10988027.926292999,28007,1404896.62,5814223.042745,0
2020-08-23 08:00:00,4.2093,4.2255,3.717,3.7399,5165201.31,1598183999999,20496416.372137,34506,2258861.21,8958645.3566,0
2020-08-23 12:00:00,3.7418,3.9736,3.7032,3.91,5787313.51,1598198399999,22204683.017787,32776,2936291.33,11266017.453050999,0
2020-08-23 16:00:00,3.91,4.1,3.7239999999999998,4.0318,2639685.84,1598212799999,10177958.203711,19317,1397545.78,5395330.631445,0
2020-08-23 20:00:00,4.0431,4.1285,3.8539999999999996,3.9779,2837893.91,1598227199999,11326190.673798,19411,1600669.55,6385331.478146,0
2020-08-24 00:00:00,3.9805,4.0198,3.78,3.9471,2806346.49,1598241599999,10885060.624963,17871,1558795.46,6038986.381161,0
2020-08-24 04:00:00,3.9471,4.14,3.8521,3.9634,3589536.89,1598255999999,14408422.080144001,24283,2138761.31,8583694.000532001,0
2020-08-24 08:00:00,3.9638,4.1601,3.9001,4.1541,3628764.2,1598270399999,14683352.924032,26432,2313420.9,9371108.375127,0
2020-08-24 12:00:00,4.1541,4.3197,4.1,4.2105,4482420.64,1598284799999,18860119.955422,31040,2489100.32,10475020.571772,0
2020-08-24 16:00:00,4.2105,4.4999,4.1755,4.4499,5742901.91,1598299199999,25078678.101384,44507,3144933.35,13722707.692605,0
2020-08-24 20:00:00,4.449,4.7983,4.35,4.5759,5593982.99,1598313599999,25930954.969768,44908,2956320.79,13694934.234211,0
2020-08-25 00:00:00,4.5759,4.922,4.48,4.8275,5160645.76,1598327999999,24524270.66863,43530,2931641.2,13955985.740170995,0
2020-08-25 04:00:00,4.8279,4.9947,4.57,4.7081,6204429.61,1598342399999,29799085.761158,50605,3404645.91,16366116.796676999,0
2020-08-25 08:00:00,4.7108,4.98,4.525,4.9248,4091815.98,1598356799999,19453954.908770002,33156,2312949.43,11004824.302128999,0
2020-08-25 12:00:00,4.9301,4.95,4.6188,4.7883,5723222.54,1598371199999,27231360.075019002,47698,2782035.33,13244314.449375,0
2020-08-25 16:00:00,4.7895,5.492999999999999,4.77,5.399,10791900.9,1598385599999,56445217.351643994,90098,5702754.41,29787014.136107,0
