timestamp,open,high,low,close,volume,close_time,quote_av,trades,tb_base_av,tb_quote_av,ignore
2019-05-30,0.16745,0.17260999999999999,0.14562,0.1517,9845807.4,1559260799999,1586627.182919,7668,3693410.5,596375.268934,0
2019-05-31,0.1517,0.1568,0.1459,0.15667999999999999,4161116.0,1559347199999,631532.260604,3406,1801132.9,274013.333508,0
2019-06-01,0.15646,0.15748,0.14864000000000002,0.15172,5211304.9,1559433599999,795190.1165840002,3071,2605324.2,398139.85995300004,0
2019-06-02,0.15164,0.1768,0.15042,0.16895,13581383.9,1559519999999,2255518.914463,9031,6362326.3,1058063.235115,0
2019-06-03,0.16857,0.16990999999999998,0.14948,0.15089,12568741.8,1559606399999,2020919.2696709998,7559,5055927.7,815408.5375260002,0
2019-06-04,0.15089,0.15204,0.13773,0.14325,10592472.7,1559692799999,1534383.4393149999,6079,5261315.6,762013.1094020002,0
2019-06-05,0.14318,0.15032,0.13979,0.1458,5831962.4,1559779199999,844929.866604,3924,2578635.3,373445.042908,0
2019-06-06,0.14577,0.1505,0.14153,0.14934,5466712.4,1559865599999,801077.009548,3973,2677104.2,392686.051064,0
2019-06-07,0.15012,0.15725,0.14927,0.15274000000000001,7529741.5,1559951999999,1158120.302287,5183,3357346.1,516498.43158000003,0
2019-06-08,0.15202000000000002,0.15645,0.14962,0.15244000000000002,3263813.0,1560038399999,500534.30089799996,2816,1477831.4,226745.004673,0
2019-06-09,0.15308,0.15467999999999998,0.14143,0.14465,6173143.2,1560124799999,921642.621026,4097,2328529.1,346842.45208099997,0
2019-06-10,0.14423,0.153,0.14157999999999998,0.15142,4014661.1,1560211199999,601304.339266,3006,2079832.8,312127.506621,0
2019-06-11,0.15233,0.163,0.1485,0.15913,10100813.5,1560297599999,1582313.7901879996,7630,5016397.8,786671.6135720002,0
2019-06-12,0.15913,0.15979000000000002,0.15375,0.15623,5743760.9,1560383999999,899578.673577,4302,2397817.1,375790.72388400004,0
2019-06-13,0.15663,0.15749000000000002,0.1497,0.15025,7449192.4,1560470399999,1140607.23881,4374,2663114.0,406906.539876,0
2019-06-14,0.14984,0.156,0.14045,0.14590999999999998,5588669.1,1560556799999,821613.0936510002,4537,2137808.7,315164.25156199996,0
2019-06-15,0.14583,0.14962,0.1446,0.14834,3653417.0,1560643199999,538657.194649,2936,1413817.7,208775.233293,0
2019-06-16,0.1484,0.1487,0.14300000000000002,0.14806,2898826.7,1560729599999,423636.341687,2953,1085983.9,159155.628903,0
2019-06-17,0.14875,0.14935,0.14400000000000002,0.14520999999999998,3830131.6,1560815999999,561566.8947729999,2994,1475102.2,216726.249704,0
2019-06-18,0.14599,0.14628,0.13702,0.14017000000000002,3834157.7,1560902399999,540211.166154,3499,1074351.3,151308.82090299999,0
2019-06-19,0.14010999999999998,0.14327,0.139,0.14242,3103222.3,1560988799999,439309.27194899996,2690,1141738.6,161922.338518,0
2019-06-20,0.14242,0.1426,0.1326,0.13514,4139254.0,1561075199999,567262.941385,2920,1087584.1,149161.328914,0
2019-06-21,0.1352,0.13762,0.133,0.13643,2602328.2,1561161599999,352589.470018,2139,1289363.5,174704.22186,0
2019-06-22,0.13625,0.13894,0.13146,0.13717000000000001,6352899.6,1561247999999,860431.166712,5031,2729713.3,370236.260819,0
2019-06-23,0.13722,0.14237,0.13532,0.13668,4472659.8,1561334399999,621204.1337550001,3987,1922145.3,267542.781754,0
2019-06-24,0.13554000000000002,0.13939000000000001,0.134,0.13695,2510167.8,1561420799999,342683.406725,2286,1078575.2,147445.693422,0
2019-06-25,0.13695,0.14123,0.13393,0.135,4115034.7,1561507199999,560316.480463,2887,2002359.5,272779.149429,0
2019-06-26,0.135,0.13588,0.12069,0.12721,7894921.5,1561593599999,1034799.939567,5533,3239502.5,425541.92929299996,0
2019-06-27,0.12721,0.12959,0.11364,0.11756,5626107.3,1561679999999,678796.2779239999,4947,2253528.8,272536.03499,0
2019-06-28,0.11757999999999999,0.12349,0.115,0.12115,3651290.6,1561766399999,437906.416325,2711,1393667.2,167228.02236300005,0
2019-06-29,0.12115,0.12482,0.1163,0.12347000000000001,3350481.4,1561852799999,404664.971073,2828,1486930.5,179468.78743199995,0
2019-06-30,0.12372999999999999,0.12809,0.11603,0.12163,6568604.6,1561939199999,809375.621526,4473,2862677.9,353647.36147,0
2019-07-01,0.12212,0.13459000000000002,0.12188,0.12737,10225131.5,1562025599999,1309426.932675,7056,4468072.6,572662.732537,0
2019-07-02,0.12789,0.12805999999999998,0.11764000000000001,0.12186,5519689.8,1562111999999,669730.1942350001,3797,2281840.9,277580.226578,0
2019-07-03,0.12097999999999999,0.12278,0.1183,0.12108,2183364.1,1562198399999,263394.050572,2044,1037337.4,125360.881002,0
2019-07-04,0.12099000000000001,0.12225,0.11534000000000001,0.11678,2261206.4,1562284799999,267403.908349,1759,826707.3,97889.52769500001,0
2019-07-05,0.11560999999999999,0.11988,0.1143,0.1165,1938655.4,1562371199999,224546.99643899998,1752,989401.0,114968.81060799999,0
2019-07-06,0.1161,0.1247,0.1161,0.12162,3707124.9,1562457599999,448290.518828,2809,1709339.0,206847.074922,0
2019-07-07,0.12136,0.1309,0.12065999999999999,0.12492,5160535.1,1562543999999,651203.882991,3668,2434380.0,307386.456536,0
2019-07-08,0.1249,0.1265,0.11804,0.11957999999999999,3488199.0,1562630399999,421200.50336,2886,1590555.9,192166.424791,0
2019-07-09,0.1196,0.1218,0.11695,0.12100999999999999,2293797.8,1562716799999,273652.57477300003,1825,867185.3,103460.752111,0
2019-07-10,0.12019,0.12365,0.1103,0.11208,2871139.5,1562803199999,332118.891136,2552,1180134.3,136760.853018,0
2019-07-11,0.11098,0.11285,0.09635,0.09969,2689385.8,1562889599999,277472.464558,1982,874901.6,90039.557749,0
2019-07-12,0.09944,0.10783,0.09572,0.10509,2838904.8,1562975999999,291429.488502,2209,1084654.9,111696.47652899999,0
2019-07-13,0.10497000000000001,0.10593,0.09848,0.10157999999999999,1818876.0,1563062399999,184276.989179,1690,863200.9,87240.81843300001,0
2019-07-14,0.1016,0.11592000000000001,0.09949,0.10468,15741838.0,1563148799999,1710002.2499819999,8290,5741449.0,624947.430986,0
